T,A
0.0246582,8.18E-02
2.47E-02,7.91E-02
2.47E-02,0.0671254
2.47E-02,4.02E-02
2.48E-02,0.0026346
2.48E-02,-3.51E-02
2.48E-02,-7.15E-02
2.49E-02,-0.1094178
2.49E-02,-0.1549764
2.49E-02,-0.2085767
2.50E-02,-0.2654821
0.0249939,-0.3232421
2.50E-02,-0.3722259
2.51E-02,-0.4078335
2.51E-02,-0.4277197
2.51E-02,-0.4305838
2.51E-02,-0.4145484
0.025177,-0.3825019
2.52E-02,-0.3381035
2.52E-02,-0.2821949
2.53E-02,-0.2230009
2.53E-02,-0.172295
2.53E-02,-0.1424296
2.54E-02,-0.1349669
2.54E-02,-0.1378843
2.54E-02,-0.139237
2.55E-02,-0.1301486
2.55E-02,-0.109823
0.0255127,-7.81E-02
2.55E-02,-3.73E-02
2.56E-02,5.78E-03
2.56E-02,4.12E-02
2.56E-02,5.98E-02
2.57E-02,5.63E-02
0.0256958,0.0337711
2.57E-02,7.27E-03
2.58E-02,-8.08E-03
2.58E-02,-1.39E-02
2.58E-02,-1.24E-02
2.58E-02,-3.71E-03
2.59E-02,8.65E-03
2.59E-02,0.0288656
2.59E-02,6.31E-02
2.60E-02,0.1067718
2.60E-02,0.1555952
2.60E-02,0.2105443
2.61E-02,0.2684438
2.61E-02,0.3240978
2.61E-02,0.377512
2.62E-02,0.4300656
2.62E-02,0.4824625
0.0262146,0.5296523
2.62E-02,0.5694361
2.63E-02,0.5938684
2.63E-02,0.5972529
2.63E-02,0.5820258
2.64E-02,0.5577735
2.64E-02,0.5305015
2.64E-02,0.5033765
2.65E-02,0.4782293
2.65E-02,0.4546122
2.65E-02,0.4305986
2.66E-02,0.4080971
2.66E-02,0.3865542
2.66E-02,0.3589182
2.66E-02,0.3256018
2.67E-02,0.2947533
2.67E-02,0.267526
0.0267334,0.2476334
2.68E-02,0.2379552
2.68E-02,0.2338409
2.68E-02,0.2344516
2.69E-02,0.2423231
2.69E-02,0.2639667
0.0269165,0.2932575
2.69E-02,0.3333794
2.70E-02,0.3863632
2.70E-02,0.4514574
2.70E-02,0.5255626
2.71E-02,0.60545
2.71E-02,0.6818421
2.71E-02,0.7491477
2.72E-02,0.8110835
2.72E-02,0.8766662
2.72E-02,0.9387143
0.0272522,0.9898974
2.73E-02,1.026033
2.73E-02,1.044384
2.73E-02,1.048796
2.74E-02,1.045747
