T,A
2.98E-02,4.77E-02
2.98E-02,5.24E-02
2.99E-02,5.51E-02
2.99E-02,5.88E-02
2.99E-02,0.0639111
3.00E-02,7.36E-02
3.00E-02,8.55E-02
0.0300293,9.96E-02
3.01E-02,0.108635
3.01E-02,0.116006
3.01E-02,0.1204731
3.02E-02,0.1214488
3.02E-02,0.1172183
0.0302124,0.1095806
3.02E-02,0.1035956
3.03E-02,9.98E-02
3.03E-02,9.64E-02
3.03E-02,0.0935127
3.04E-02,9.30E-02
3.04E-02,9.55E-02
3.04E-02,9.74E-02
3.05E-02,9.98E-02
3.05E-02,0.103494
3.05E-02,0.1062806
0.0305481,0.1095477
3.06E-02,0.1112798
3.06E-02,0.1123966
3.06E-02,0.110916
3.07E-02,0.1081267
3.07E-02,0.1075723
0.0307312,0.1094298
3.08E-02,0.1107632
3.08E-02,0.1125962
3.08E-02,0.1142713
3.09E-02,0.1167045
3.09E-02,0.1158197
3.09E-02,0.1124954
3.09E-02,0.1104766
